Date,Pension_Type_ID,Count_Paid,Avg_Amount,Count_New
2022-09-01,1,143074.0,230.83,912.0
2022-09-01,2,80937.0,417.62,434.0
2022-09-01,3,11770.0,503.96,1115.0
2022-09-01,4,17758.0,151.36,259.0
2022-09-01,5,1100429.0,517.42,4146.0
2022-09-01,6,51558.0,233.46,523.0
2022-09-01,7,287383.0,287.86,1380.0
2022-10-01,1,142892.0,230.98,935.0
2022-10-01,2,80857.0,418.12,448.0
2022-10-01,3,11770.0,504.83,1108.0
2022-10-01,4,18194.0,152.09,272.0
2022-10-01,5,1102360.0,517.96,4570.0
2022-10-01,6,51778.0,233.62,546.0
2022-10-01,7,287774.0,287.99,1625.0
2022-11-01,1,143007.0,231.17,1046.0
2022-11-01,2,81048.0,418.54,519.0
2022-11-01,3,12112.0,508.42,981.0
2022-11-01,4,18644.0,153.5,306.0
2022-11-01,5,1104225.0,518.35,4039.0
2022-11-01,6,52046.0,233.67,389.0
2022-11-01,7,288455.0,287.99,1241.0
2022-12-01,1,143033.0,231.4,847.0
2022-12-01,2,81110.0,419.12,389.0
2022-12-01,3,12311.0,512.51,858.0
2022-12-01,4,19584.0,155.32,154.0
2022-12-01,5,1104304.0,518.76,2423.0
2022-12-01,6,52084.0,234.03,152.0
2022-12-01,7,288358.0,288.06,418.0
2023-01-01,1,142768.0,258.74,1392.0
2023-01-01,2,80930.0,468.6,585.0
2023-01-01,3,12061.0,572.01,962.0
2023-01-01,4,20292.0,174.32,342.0
2023-01-01,5,1105403.0,575.24,3655.0
2023-01-01,6,52063.0,261.32,617.0
2023-01-01,7,288316.0,321.81,1766.0
2023-02-01,1,142973.0,259.5,952.0
2023-02-01,2,80725.0,470.38,431.0
2023-02-01,3,12981.0,573.75,2052.0
2023-02-01,4,21178.0,175.81,306.0
2023-02-01,5,1100987.0,576.14,2606.0
2023-02-01,6,51838.0,263.12,489.0
2023-02-01,7,286937.0,322.88,1393.0
2023-03-01,1,142675.0,259.65,1224.0
2023-03-01,2,80569.0,471.04,542.0
2023-03-01,3,13993.0,594.53,1497.0
2023-03-01,4,21500.0,176.09,280.0
2023-03-01,5,1102878.0,576.44,2940.0
2023-03-01,6,52085.0,264.44,611.0
2023-03-01,7,287520.0,323.38,1694.0
2023-04-01,1,142458.0,259.95,989.0
2023-04-01,2,80352.0,471.72,426.0
2023-04-01,3,13986.0,600.56,930.0
2023-04-01,4,21064.0,174.66,233.0
2023-04-01,5,1102785.0,577.93,3297.0
2023-04-01,6,52342.0,265.63,378.0
2023-04-01,7,288175.0,324.78,943.0
2023-05-01,1,142426.0,260.31,1382.0
2023-05-01,2,80228.0,472.36,603.0
2023-05-01,3,13884.0,604.68,1392.0
2023-05-01,4,20308.0,173.14,327.0
2023-05-01,5,1104323.0,578.69,5041.0
2023-05-01,6,52421.0,266.42,530.0
2023-05-01,7,288174.0,325.21,1487.0
2023-06-01,1,142278.0,260.72,1274.0
2023-06-01,2,80061.0,472.86,517.0
2023-06-01,3,13899.0,609.61,1119.0
2023-06-01,4,20278.0,173.44,308.0
2023-06-01,5,1106488.0,579.58,4581.0
2023-06-01,6,52638.0,266.52,526.0
2023-06-01,7,288317.0,325.01,1410.0
2023-07-01,1,142314.0,261.07,708.0
2023-07-01,2,80006.0,473.28,247.0
2023-07-01,3,13589.0,613.1,386.0
2023-07-01,4,18221.0,171.44,154.0
2023-07-01,5,1110234.0,580.06,2061.0
2023-07-01,6,52906.0,266.82,151.0
2023-07-01,7,289093.0,324.94,451.0
2023-08-01,1,142091.0,288.75,1447.0
2023-08-01,2,79724.0,523.17,577.0
2023-08-01,3,12880.0,678.95,1803.0
2023-08-01,4,18251.0,189.32,250.0
2023-08-01,5,1112078.0,642.04,5041.0
2023-08-01,6,52943.0,294.94,389.0
2023-08-01,7,289097.0,359.22,1141.0
2023-09-01,1,142126.0,289.39,1095.0
2023-09-01,2,79480.0,524.98,444.0
2023-09-01,3,14303.0,687.12,2029.0
2023-09-01,4,17695.0,190.76,247.0
2023-09-01,5,1111698.0,643.7,4612.0
2023-09-01,6,52674.0,296.19,516.0
2023-09-01,7,287993.0,359.65,1433.0
2023-10-01,1,142113.0,289.69,835.0
2023-10-01,2,79317.0,525.57,299.0
2023-10-01,3,15072.0,692.13,1872.0
2023-10-01,4,17980.0,191.61,260.0
2023-10-01,5,1114611.0,647.68,4331.0
2023-10-01,6,52906.0,296.75,494.0
2023-10-01,7,288387.0,360.16,1292.0
2023-11-01,1,141729.0,289.75,753.0
2023-11-01,2,79151.0,525.62,362.0
2023-11-01,3,14964.0,696.64,1692.0
2023-11-01,4,17772.0,191.74,185.0
2023-11-01,5,1116955.0,648.29,3146.0
2023-11-01,6,53062.0,296.71,289.0
2023-11-01,7,288635.0,360.33,732.0
2023-12-01,1,141448.0,289.87,826.0
2023-12-01,2,78901.0,525.94,323.0
2023-12-01,3,15427.0,702.44,2030.0
2023-12-01,4,18714.0,194.09,121.0
2023-12-01,5,1118242.0,648.83,2519.0
2023-12-01,6,53045.0,297.13,144.0
2023-12-01,7,288365.0,360.5,417.0
2024-01-01,1,141446.0,300.76,1201.0
2024-01-01,2,79092.0,545.52,565.0
2024-01-01,3,16667.0,735.13,4972.0
2024-01-01,4,19604.0,202.73,268.0
2024-01-01,5,1118247.0,670.96,3880.0
2024-01-01,6,53083.0,308.31,472.0
2024-01-01,7,288325.0,373.51,1218.0
2024-02-01,1,141161.0,301.61,1015.0
2024-02-01,2,79212.0,547.66,458.0
2024-02-01,3,23749.0,749.45,7276.0
2024-02-01,4,20661.0,204.72,237.0
2024-02-01,5,1113744.0,672.52,3054.0
2024-02-01,6,52715.0,309.19,464.0
2024-02-01,7,286484.0,374.12,1356.0
2024-03-01,1,140069.0,301.87,735.0
2024-03-01,2,79203.0,548.65,319.0
2024-03-01,3,29102.0,756.02,6527.0
2024-03-01,4,21074.0,205.08,175.0
